trial,avg_runtime,success_rate,stopping_reasons,value,tau_p_init,tau_r_init,tau_decay,tau_min_ratio,damping,max_inner_iter,inner_tol,outer_tol_mult,consecutive_tol,verify_every_n
0,5.147940009832382,0.875,"{""early_verification"": 7, ""converged"": 1}",114.03824281692505,0.1873647172687948,0.0022108544496693672,0.6131988753285373,0.00016042020845182488,0.7194689697855631,198,0.08755734725056502,23.42391466254442,5,20
1,2.319632738828659,1.0,"{""early_verification"": 7, ""converged"": 1}",2.319632738828659,0.004098106156071121,0.2665524671840132,0.7188475500951326,1.7326529663635629e-06,0.3980442553304314,309,0.0003527566351720554,2.2433834533274752,6,27
0,5.402950614690781,0.875,"{""early_verification"": 7, ""converged"": 1}",57.90700849890709,0.1873647172687948,0.0022108544496693672,0.6131988753285373,0.00016042020845182488,0.7194689697855631,198,0.08755734725056502,23.42391466254442,5,20
1,2.574284464120865,1.0,"{""early_verification"": 7, ""converged"": 1}",2.574284464120865,0.004098106156071121,0.2665524671840132,0.7188475500951326,1.7326529663635629e-06,0.3980442553304314,309,0.0003527566351720554,2.2433834533274752,6,27
0,5.603944778442383,0.875,"{""early_verification"": 7, ""converged"": 1}",57.951887130737305,0.1873647172687948,0.0022108544496693672,0.6131988753285373,0.00016042020845182488,0.7194689697855631,198,0.08755734725056502,23.42391466254442,5,20
1,2.685858368873596,1.0,"{""early_verification"": 7, ""converged"": 1}",2.685858368873596,0.004098106156071121,0.2665524671840132,0.7188475500951326,1.7326529663635629e-06,0.3980442553304314,309,0.0003527566351720554,2.2433834533274752,6,27
0,5.727383255958557,0.875,"{""early_verification"": 7, ""converged"": 1}",58.03015947341919,0.1873647172687948,0.0022108544496693672,0.6131988753285373,0.00016042020845182488,0.7194689697855631,198,0.08755734725056502,23.42391466254442,5,20
1,2.814249038696289,1.0,"{""early_verification"": 7, ""converged"": 1}",2.814249038696289,0.004098106156071121,0.2665524671840132,0.7188475500951326,1.7326529663635629e-06,0.3980442553304314,309,0.0003527566351720554,2.2433834533274752,6,27
0,5.469184905290604,0.875,"{""early_verification"": 7, ""converged"": 1}",57.970073491334915,0.1873647172687948,0.0022108544496693672,0.6131988753285373,0.00016042020845182488,0.7194689697855631,198,0.08755734725056502,23.42391466254442,5,20
1,2.7381075024604797,1.0,"{""early_verification"": 7, ""converged"": 1}",2.7381075024604797,0.004098106156071121,0.2665524671840132,0.7188475500951326,1.7326529663635629e-06,0.3980442553304314,309,0.0003527566351720554,2.2433834533274752,6,27
2,42.07496005296707,0.875,"{""early_verification"": 6, ""converged"": 1, ""time_budget"": 1}",60.82273182272911,0.09572625635916743,0.9805156302947775,0.8615032071054569,0.00027803152557785027,0.7224433825702216,163,0.0012172112758475466,2.861056680785486,3,32
4,5.917363822460175,0.875,"{""early_verification"": 7, ""converged"": 1}",58.085364669561386,0.1873647172687948,0.0022108544496693672,0.6131988753285373,0.00016042020845182488,0.7194689697855631,198,0.08755734725056502,23.42391466254442,5,20
5,3.3595280945301056,1.0,"{""early_verification"": 7, ""converged"": 1}",3.3595280945301056,0.004098106156071121,0.2665524671840132,0.7188475500951326,1.7326529663635629e-06,0.3980442553304314,309,0.0003527566351720554,2.2433834533274752,6,27
6,42.84795033931732,0.875,"{""early_verification"": 6, ""converged"": 1, ""time_budget"": 1}",61.59052613377571,0.09572625635916743,0.9805156302947775,0.8615032071054569,0.00027803152557785027,0.7224433825702216,163,0.0012172112758475466,2.861056680785486,3,32
7,38.48635384440422,0.875,"{""converged"": 7, ""time_budget"": 1}",57.23404839634895,0.00027089335382138427,0.010913116747420874,0.7150005189014923,9.434967110751789e-05,0.425830290295828,159,0.001901314327577388,61.20379139339556,10,26
