r,m,n_eq
35721,3,5
21,2,3
81,2,3
729,0,5
5103,1,6
21609,7,5
1701,4,5
27,3,4
1,1,4
243,0,4
729,1,5
63,4,3
81,1,4
15309,2,6
7,0,2
1,0,3
9,5,5
81,0,3
21,5,5
81,2,2
27,5,4
21609,5,4
7,4,3
3,1,1
229635,5,7
135,2,5
567,1,5
1,2,1
1701,7,5
81,2,4
1,0,2
3,1,2
1701,5,6
3,2,2
1,0,0
7,0,3
81,3,4
3,0,1
63,5,6
81,3,5
81,4,4
453789,8,7
27,3,2
81,2,4
3969,5,6
189,3,3
81,2,4
27,3,4
27,2,3
27,0,3
27,0,2
567,3,4
9,0,1
107163,5,4
729,2,4
567,4,5
1,0,1
9,1,2
567,2,5
15309,2,4
3781575,7,7
1,0,1
63,4,5
81,2,3
9,0,2
81,1,3
27,1,3
1,0,1
567,2,5
3,1,2
243,1,3
27,3,5
6561,0,7
1,0,1
1323,6,5
1,0,1
27,2,2
49,1,4
1,0,2
27,1,4
81,3,5
9,2,2
27,2,4
81,0,3
1,1,2
1,3,4
81,1,4
243,0,3
567,1,4
1,0,3
189,2,5
466948881,6,7
243,5,5
567,4,4
21,1,4
3087,1,5
729,2,4
243,2,4
3,0,2
243,6,7
3,0,2
9,0,3
81,7,5
243,1,4
81,1,4
3,2,2
15309,1,4
9,3,2
1701,5,6
7203,2,3
3,2,3
189,2,4
2835,1,5
9,3,2
567,4,5
189,2,4
3,1,2
729,0,3
9,1,5
1701,5,5
27,2,4
243,2,4
1,3,2
567,1,2
243,4,4
81,2,4
1,1,3
1,0,0
9,0,2
81,1,6
64827,2,5
81,1,2
15309,4,5
441,4,5
694575,8,7
21609,3,4
9,1,2
27,3,3
81,0,3
3,2,3
2187,1,6
81,2,5
9,2,3
243,3,5
9,0,2
1,0,1
11907,3,5
5103,1,5
27,0,3
147,6,4
8505,4,5
9,3,5
243,2,5
1,2,2
729,2,4
21,5,6
243,4,4
9,1,2
9,3,3
405,1,5
1,0,0
9,0,2
9,1,2
3,1,4
1701,3,4
27,2,2
63,0,4
243,0,4
9,0,1
3,1,2
964467,2,7
567,1,4
27,2,3
1323,1,5
81,3,3
27,2,3
243,2,4
1,2,2
81,1,5
27,2,2
7,1,3
5103,4,5
413343,2,6
27,1,4
1701,4,6
1323,9,6
49,0,3
5103,4,4
49,2,5
1,0,0
21,2,3
3,0,2
21,1,2
8505,3,5
243,2,5
9,1,1
729,2,5
9,0,1
1323,0,4
9,3,5
9,1,2
9,0,2
1701,3,3
15,3,4
729,2,5
9,0,2
3,3,3
135,6,6
243,2,6
243,2,4
540225,4,7
567,3,5
27,1,3
3,2,3
1,2,4
147,1,5
27,4,3
7,1,3
3,4,3
8505,4,6
9,2,3
9,3,2
45,4,5
9,1,4
27,0,3
5103,4,4
27,1,3
1701,4,4
27,1,2
64827,4,5
189,2,3
81,0,2
9,0,2
1701,4,4
1,3,3
9,1,2
567,3,5
64827,4,6
5103,2,7
81,0,2
27,0,3
27,0,3
1,1,1
7203,4,4
27,2,5
63,1,3
81,1,3
1,3,2
3,0,2
3,1,2
1,1,2
9,0,3
9,2,4
27,1,6
5103,4,4
3,1,2
9,2,2
27,2,3
81,4,4
27,1,4
1,0,2
11907,8,6
750141,4,7
27,6,3
135,3,4
3969,5,5
27,0,3
63,0,3
81,0,3
81,3,5
9,0,3
3,2,3
27,2,4
189,3,3
1,1,2
243,3,4
567,2,4
1,0,2
1,0,3
9,1,2
81,0,2
9,0,4
9,1,3
3,1,3
27,3,4
9,3,3
25515,2,4
1,0,2
7,3,3
81,3,4
81,4,5
567,6,4
81,3,5
81,1,3
9,2,3
1,0,1
1701,2,5
3969,4,6
81,1,5
27,0,3
1,1,1
3,0,2
81,0,4
243,1,4
2835,3,3
441,4,5
49,4,6
1361367,7,6
567,2,5
9,1,3
3,1,2
1,2,3
3,2,4
1701,4,6
7,2,2
9,2,2
27,1,3
1,2,3
5103,2,4
49,0,3
27,1,4
1,0,2
5103,3,5
27,2,4
1,0,1
9,2,2
9,4,4
9,0,3
15309,0,4
27,0,3
9,1,2
27,2,5
27,0,2
243,1,4
7,1,2
243,1,4
189,2,4
9,0,3
63,2,3
21,2,3
81,2,3
81,1,6
189,3,3
137781,1,6
81,3,4
63,2,3
135,1,5
9,5,4
27,1,4
3,0,3
27,1,4
567,3,4
7,2,2
9,3,4
729,5,5
9,2,3
1,0,0
441,2,5
77175,5,5
9,0,3
1,1,4
81,1,3
567,1,4
27,2,4
11907,3,5
405,1,6
9,1,3
27,0,2
9,1,4
45927,4,6
6075,6,8
147,2,4
27,0,3
27,2,2
1,2,3
1701,3,4
243,1,4
35721,2,6
2187,5,7
1,0,0
63,2,5
243,2,4
243,1,4
9,1,2
3,1,3
27,1,3
567,4,3
1701,3,5
81,2,4
3,0,1
3,2,2
27,5,4
9,1,3
1,0,1
81,1,3
9,1,1
3,0,1
9,1,1
567,5,5
9,2,2
1701,2,6
5103,2,3
1,1,1
21,3,3
81,2,4
9,0,3
63,1,5
27,4,3
729,1,3
35721,2,6
1,0,3
189,4,4
189,1,2
7,2,3
27,3,3
9,2,2
63,2,3
1701,4,5
9,0,3
243,0,5
21,3,3
1,1,1
3,4,2
9,2,4
1,0,2
27,0,2
27,3,5
3,1,3
35721,5,7
6561,2,4
9,1,2
9,3,5
27,5,5
243,0,3
27,3,3
27,2,2
1,0,1
9,2,3
1,1,1
27,2,3
189,4,5
243,2,3
81,2,3
189,2,4
1,0,3
21,2,4
5103,3,6
1,0,2
36756909,9,6
27,1,3
9,2,3
3,1,4
9,4,5
243,1,3
567,2,4
27,2,4
243,0,3
9,0,1
81,0,4
1701,1,3
243,1,3
567,5,4
9,1,2
27,2,4
3,1,2
189,3,3
2835,1,3
9,1,3
15309,1,5
9,0,3
243,3,5
243,7,5
1,0,0
