time_s,capped
0.0211181640625,0
0.0006487369537353516,0
0.0005636215209960938,0
0.2709619998931885,0
0.0007059574127197266,0
0.00012111663818359375,0
0.00010633468627929688,0
0.00010013580322265625,0
8.106231689453125e-05,0
0.0011646747589111328,0
0.0005652904510498047,0
0.0009236335754394531,0
0.0017895698547363281,0
0.07594966888427734,0
0.010023832321166992,0
0.01996779441833496,0
0.12106466293334961,0
0.00237274169921875,0
0.00013685226440429688,0
0.00414729118347168,0
0.00154876708984375,0
0.016065120697021484,0
0.0007016658782958984,0
0.01625847816467285,0
0.0015332698822021484,0
0.001424551010131836,0
1.6424360275268555,0
0.00373077392578125,0
0.015513420104980469,0
0.0016913414001464844,0
0.00011467933654785156,0
9.679794311523438e-05,0
0.0014734268188476562,0
0.0023131370544433594,0
0.00089263916015625,0
0.011650323867797852,0
0.17055583000183105,0
0.16104412078857422,0
0.8958113193511963,0
0.005278348922729492,0
0.00014352798461914062,0
0.0001010894775390625,0
0.011523008346557617,0
0.15584969520568848,0
0.07254791259765625,0
0.0029413700103759766,0
0.48741650581359863,0
0.10518097877502441,0
0.00031304359436035156,0
0.0006597042083740234,0
0.0017743110656738281,0
0.06863975524902344,0
0.0008330345153808594,0
0.0006155967712402344,0
0.41055989265441895,0
0.001566171646118164,0
0.0013861656188964844,0
0.0015053749084472656,0
0.001875162124633789,0
0.0011031627655029297,0
0.004312992095947266,0
0.0001049041748046875,0
0.0815887451171875,0
0.0009138584136962891,0
0.00010418891906738281,0
0.005243539810180664,0
0.0008778572082519531,0
0.005081892013549805,0
0.001661539077758789,0
0.015396595001220703,0
0.00010442733764648438,0
0.06118965148925781,0
0.18712973594665527,0
0.00024127960205078125,0
0.3860006332397461,0
0.00019407272338867188,0
2.53633451461792,0
0.0007927417755126953,0
0.0001285076141357422,0
0.0008423328399658203,0
0.0027430057525634766,0
0.1458725929260254,0
0.22033429145812988,0
0.0006148815155029297,0
0.00014734268188476562,0
9.131431579589844e-05,0
0.03206992149353027,0
0.23719191551208496,0
20.0,1
0.00682520866394043,0
0.0007014274597167969,0
0.00011134147644042969,0
7.479534149169922,0
0.0001735687255859375,0
0.005400657653808594,0
0.0009338855743408203,0
0.0631558895111084,0
0.0023300647735595703,0
0.005372762680053711,0
0.00011444091796875,0
9.560585021972656e-05,0
0.0008966922760009766,0
0.034215688705444336,0
0.0009508132934570312,0
0.048750877380371094,0
0.294205904006958,0
0.0009763240814208984,0
0.07162904739379883,0
0.003699779510498047,0
0.011057376861572266,0
0.00013518333435058594,0
0.007074117660522461,0
0.3091874122619629,0
0.008566617965698242,0
13.932227373123169,0
0.0066814422607421875,0
0.006133317947387695,0
0.0013263225555419922,0
0.006114959716796875,0
0.00016379356384277344,0
0.0005891323089599609,0
0.0006656646728515625,0
0.001077413558959961,0
0.004447460174560547,0
0.0005495548248291016,0
0.022047042846679688,0
0.0395205020904541,0
0.0008184909820556641,0
0.0010309219360351562,0
0.0016715526580810547,0
0.08362150192260742,0
0.0014913082122802734,0
0.3790266513824463,0
0.0010786056518554688,0
0.004884243011474609,0
0.11370468139648438,0
0.0010073184967041016,0
0.7381682395935059,0
0.00019288063049316406,0
0.011575698852539062,0
0.0016040802001953125,0
0.007803440093994141,0
0.0006577968597412109,0
0.0012135505676269531,0
0.0006439685821533203,0
0.23342370986938477,0
0.017718791961669922,0
0.0001494884490966797,0
9.989738464355469e-05,0
0.023688554763793945,0
0.001100778579711914,0
0.00010895729064941406,0
0.006046295166015625,0
0.0001323223114013672,0
0.00010919570922851562,0
0.0009164810180664062,0
10.057057857513428,0
0.0002071857452392578,0
0.0557096004486084,0
0.00015735626220703125,0
0.0006892681121826172,0
0.008338212966918945,0
0.0010349750518798828,0
0.00012421607971191406,0
0.014079570770263672,0
0.0014204978942871094,0
0.0011110305786132812,0
0.0017061233520507812,0
0.00011730194091796875,0
0.00010275840759277344,0
0.0015201568603515625,0
0.28788256645202637,0
0.00018095970153808594,0
0.17270708084106445,0
0.0018477439880371094,0
0.0001251697540283203,0
0.14201593399047852,0
0.0010929107666015625,0
0.0048291683197021484,0
0.0009341239929199219,0
0.0008807182312011719,0
0.0008337497711181641,0
0.0005478858947753906,0
0.262359619140625,0
0.0013875961303710938,0
0.0062716007232666016,0
0.01392364501953125,0
0.0020225048065185547,0
0.010787487030029297,0
0.015600442886352539,0
0.014468193054199219,0
0.00016117095947265625,0
0.017852783203125,0
20.0,1
0.002412080764770508,0
0.010147809982299805,0
