Data Source,World Development Indicators,,,
,,,,
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,389059911003566
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,16485444160371
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1725671652742.19
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,43130419829.35
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,149740297952986
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,19497115588443.6
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1652895518697.74
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,298696961297656
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,5968125909.27126
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,3160442622465.08
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,4052937169.76536
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,471425099.488675
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,20895684425.6752
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,3686033044482.13
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,34189423544.9955
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,82308110386.4641
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,25008678293.4084
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,2404888749.21907
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,2218393804.54798
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,12765777677.0622
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,256238371778118
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1371918518.51852
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,113199581158203
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,24662709832.1343
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,71321142708251.2
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,406863396487342
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,37093565854.0437
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1145111349262.57
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,92983810328.9088
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,25224154990.7946
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,222722738925641
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,40930410371533.4
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,43823204664493.9
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,2892794292960.5
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1117411942661.72
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1396300098190.97
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1775382350298.79
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,3909891533858.08
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,609157459747205
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,475252089215416
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,279641257615385
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,33255181468.9382
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,540379921261681
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2380825077243.59
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,22014397089.7689
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,53352289577.4648
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4027597523550.58
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,291480274648826
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,120339557905932
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,17478259659.2625
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,46352647037.2406
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,307862564.489711
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1122388888.88889
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1875388209406.8
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,160227273053334
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,6168787362595.33
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,16502933121.3379
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,4779300900
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,48487151215345
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,2549062962.96296
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,7110323254687.35
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1536272727812.71
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,469282282632522
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,98963185509.6499
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,7941312381464.46
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,39397098753614.4
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2271759454.51107
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,29979152245112.6
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,84869215513.3648
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,93279851863.4062
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,43684254432.3609
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,49467258923.3244
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,160610994054734
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,11125783372.4794
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,18200340853.6517
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,17420501490.1231
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,7061608267.25451
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP (current US$),NY.GDP.MKTP.CD,5094721946852.29
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1856365616165.94
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,290108489.990234
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,38925709373017.6
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,16951682245.4202
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,26794747239.8805
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,24971574502.4475
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,74068349523.8095
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,GDP (current US$),NY.GDP.MKTP.CD,2203604227426.38
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,8270016670.86774
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,23794540024.5132
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,22745341305.0622
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,10908045686.8808
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,14937861786.17
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,11316411329.4619
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,422227005428688
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,31003826557365
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,13372354511716
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,8548919387.12607
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,19876128485.7857
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,252261880141151
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,19693982967.5926
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1214927698572.66
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,483592648313301
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,42914268286.7109
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,162588620.632234
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,260172385097616
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,67500141717526.4
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,107137198769386
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,208127281931.64
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,371570000121266
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,86523959131.7472
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,289221969062941
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,461617509782355
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,31800428265.5246
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,917767106146761
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1510802883684.15
